time[s],wave[m],surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
17.524,-0.440994,-1.360472,-1.282021,-0.617066,-0.150569,2.472271,0.315371
17.603,-0.325003,-1.355613,-1.291055,-0.538407,-0.142646,2.469006,0.2874
17.682,-0.208759,-1.349702,-1.299087,-0.45933,-0.134612,2.463827,0.259207
17.761,-0.092354,-1.342745,-1.306112,-0.379897,-0.126474,2.456737,0.230812
17.84,0.024124,-1.334746,-1.312124,-0.30017,-0.118238,2.447741,0.202239
17.919,0.140582,-1.325712,-1.317119,-0.22021,-0.109911,2.436847,0.173509
17.998,0.256931,-1.315651,-1.321091,-0.140079,-0.101498,2.424064,0.144644
18.077,0.373081,-1.304568,-1.32404,-0.059839,-0.093006,2.4094,0.115667
18.157,0.490406,-1.292315,-1.325979,0.021464,-0.084334,2.392647,0.086231
18.236,0.605882,-1.279206,-1.32686,0.101733,-0.075704,2.374236,0.057097
18.315,0.720889,-1.265105,-1.326711,0.181924,-0.067015,2.353984,0.027918
18.394,0.835336,-1.250023,-1.325533,0.261974,-0.058274,2.331906,-0.001283
18.473,0.949135,-1.233971,-1.323328,0.34182,-0.049488,2.308019,-0.030482
18.552,1.062199,-1.216963,-1.320096,0.421401,-0.040664,2.282343,-0.059658
18.631,1.174438,-1.199011,-1.31584,0.500656,-0.031808,2.254897,-0.088788
18.71,1.285767,-1.180129,-1.310564,0.579522,-0.022928,2.225702,-0.117849
18.79,1.397489,-1.160075,-1.304185,0.658929,-0.013917,2.194378,-0.147184
18.869,1.506723,-1.139367,-1.296869,0.736829,-0.005008,2.161734,-0.176038
18.948,1.61479,-1.117775,-1.288546,0.814157,0.003905,2.127413,-0.204756
19.027,1.721603,-1.095316,-1.279224,0.890854,0.012816,2.091442,-0.233314
19.106,1.827082,-1.072007,-1.26891,0.96686,0.021716,2.053849,-0.261692
19.201,1.95204,-1.042879,-1.255205,1.057262,0.032395,2.006535,-0.295546
19.28,2.054291,-1.017764,-1.242736,1.131539,0.041249,1.965475,-0.323448
19.359,2.154949,-0.991861,-1.229302,1.204939,0.050071,1.92289,-0.351099
19.438,2.253936,-0.965187,-1.214916,1.277404,0.058854,1.878814,-0.378478
19.517,2.351175,-0.937766,-1.199587,1.348879,0.067592,1.83328,-0.405563
19.596,2.44659,-0.909617,-1.183328,1.419308,0.076277,1.786325,-0.432334
19.676,2.54128,-0.880393,-1.165927,1.489506,0.085012,1.737364,-0.459101
19.755,2.632802,-0.850847,-1.147835,1.557664,0.093571,1.687659,-0.485176
19.834,2.722283,-0.820641,-1.128852,1.624615,0.102057,1.636646,-0.510875
19.913,2.809653,-0.789799,-1.108994,1.690306,0.110465,1.584362,-0.536178
19.992,2.894844,-0.758345,-1.088275,1.754685,0.118787,1.530851,-0.561064
20.071,2.97779,-0.726302,-1.066713,1.817704,0.127016,1.476152,-0.585516
20.15,3.058426,-0.693696,-1.044324,1.879314,0.135147,1.420308,-0.609513
20.229,3.136691,-0.660552,-1.021124,1.939465,0.143174,1.363363,-0.633038
20.309,3.213467,-0.626467,-0.996824,1.998846,0.151189,1.304619,-0.65636
20.388,3.286776,-0.592318,-0.97205,2.055924,0.158985,1.245592,-0.678879
20.467,3.357535,-0.55771,-0.946522,2.111408,0.166658,1.185599,-0.700871
20.546,3.425691,-0.52267,-0.920259,2.165254,0.174203,1.124686,-0.722319
20.625,3.491191,-0.487224,-0.893284,2.217421,0.181612,1.062901,-0.743207
20.704,3.553982,-0.451401,-0.865615,2.267869,0.18888,1.000291,-0.763519
20.783,3.614018,-0.415227,-0.837275,2.316558,0.196001,0.936906,-0.783239
20.862,3.671251,-0.378732,-0.808286,2.36345,0.202971,0.872794,-0.802352
20.942,3.726307,-0.341475,-0.778291,2.409068,0.209868,0.807182,-0.821072
21.021,3.777766,-0.304418,-0.748063,2.452235,0.216516,0.741759,-0.838917
21.1,3.826296,-0.267124,-0.717256,2.493501,0.222995,0.675761,-0.856112
21.179,3.871859,-0.229623,-0.685892,2.532833,0.229302,0.609239,-0.872643
21.258,3.914418,-0.191944,-0.653996,2.570201,0.235431,0.542244,-0.888497
21.337,3.953942,-0.154116,-0.621593,2.605576,0.241377,0.474829,-0.903662
21.416,3.9904,-0.116169,-0.588708,2.63893,0.247136,0.407046,-0.918126
21.495,4.023763,-0.078131,-0.555367,2.670237,0.252703,0.338947,-0.931879
21.575,4.054368,-0.039551,-0.521164,2.699831,0.258142,0.269718,-0.945068
21.654,4.081427,-0.001422,-0.486983,2.726947,0.26331,0.201144,-0.957356
21.733,4.105321,0.036709,-0.452423,2.751949,0.268275,0.132414,-0.968901
21.812,4.12603,0.074811,-0.417513,2.774816,0.273031,0.063581,-0.979694
21.891,4.14354,0.112854,-0.382279,2.795532,0.277576,-0.005301,-0.989728
21.97,4.157837,0.150811,-0.346748,2.814079,0.281905,-0.074179,-0.998995
22.049,4.168909,0.18865,-0.310949,2.830444,0.286016,-0.142999,-1.007486
22.191,4.180677,0.256278,-0.246013,2.854334,0.292845,-0.266387,-1.020781
22.27,4.182691,0.293635,-0.209609,2.864532,0.296328,-0.334764,-1.027072
22.349,4.181462,0.330764,-0.173043,2.872508,0.299581,-0.40288,-1.032567
22.428,4.176989,0.367636,-0.136343,2.878257,0.302602,-0.470685,-1.037261
22.507,4.169277,0.404224,-0.099537,2.881774,0.305388,-0.538124,-1.04115
22.587,4.158172,0.440954,-0.062186,2.883058,0.307968,-0.605991,-1.044266
22.666,4.143961,0.476882,-0.025254,2.882075,0.310275,-0.672537,-1.046528
22.745,4.126537,0.51244,0.011698,2.878858,0.312342,-0.738562,-1.047978
22.824,4.105912,0.547601,0.048641,2.873408,0.314166,-0.804014,-1.048616
22.966,4.060846,0.609715,0.114931,2.858013,0.316832,-0.920061,-1.047717
23.045,4.031361,0.64362,0.151696,2.846345,0.317972,-0.983642,-1.046081
23.124,3.99875,0.677026,0.188344,2.83247,0.318866,-1.046461,-1.043633
23.265,3.932857,0.735328,0.253372,2.802254,0.319845,-1.156532,-1.037254
23.345,3.89114,0.767608,0.289999,2.782028,0.32005,-1.217731,-1.032494
23.424,3.846907,0.798886,0.325942,2.759882,0.320002,-1.277215,-1.026988
23.503,3.799691,0.829544,0.361633,2.735597,0.319706,-1.335708,-1.020686
23.582,3.749528,0.859559,0.397042,2.70919,0.319162,-1.393165,-1.013592
23.661,3.696458,0.888908,0.432144,2.680681,0.318371,-1.449542,-1.005712
23.74,3.640521,0.917567,0.466911,2.650094,0.317332,-1.504795,-0.997052
23.819,3.58176,0.945515,0.501316,2.617452,0.316048,-1.558881,-0.987619
23.914,3.507424,0.978149,0.542172,2.575513,0.314179,-1.622316,-0.975261
23.993,3.442609,1.004454,0.575685,2.538436,0.312356,-1.673684,-0.964152
24.072,3.375124,1.029979,0.608753,2.49939,0.310291,-1.723755,-0.952294
24.151,3.305022,1.054706,0.641348,2.458405,0.307986,-1.772489,-0.939698
24.231,3.23142,1.078913,0.673848,2.414959,0.305408,-1.820439,-0.926201
24.31,3.156216,1.101974,0.705417,2.370172,0.302623,-1.866369,-0.912148
24.451,3.015948,1.141,0.760386,2.28569,0.297072,-1.944726,-0.885318
24.53,2.934079,1.161639,0.790371,2.235874,0.293641,-1.98654,-0.869324
24.61,2.848855,1.181622,0.820112,2.183661,0.289933,-2.027313,-0.852442
24.689,2.762472,1.200433,0.84884,2.130396,0.286046,-2.065995,-0.835105
24.768,2.673947,1.218312,0.876911,2.075479,0.281937,-2.103074,-0.81712
24.847,2.583349,1.235247,0.904301,2.018952,0.277609,-2.138523,-0.798502
24.926,2.490747,1.251224,0.93099,1.96086,0.273066,-2.172313,-0.779264
25.005,2.396213,1.266231,0.956958,1.901247,0.268311,-2.204418,-0.759422
25.084,2.299822,1.280255,0.982183,1.84016,0.263348,-2.234814,-0.738991
25.163,2.201646,1.293287,1.006646,1.777645,0.258181,-2.263476,-0.717988
25.243,2.100488,1.305462,1.030623,1.712935,0.252744,-2.290713,-0.69615
25.322,1.998955,1.316465,1.053496,1.647696,0.247178,-2.315821,-0.674043
25.463,1.813938,1.333562,1.092279,1.528115,0.236771,-2.35616,-0.633297
25.542,1.708287,1.341704,1.112835,1.459447,0.230682,-2.376223,-0.609778
25.622,1.599949,1.348888,1.132772,1.388756,0.224334,-2.394662,-0.585479
25.701,1.491717,1.35493,1.151576,1.317865,0.217891,-2.411001,-0.561027
25.78,1.382328,1.359921,1.169486,1.245952,0.211278,-2.425471,-0.536139
25.859,1.271866,1.363858,1.186489,1.173072,0.204502,-2.43806,-0.510836
25.938,1.160419,1.366737,1.202573,1.099283,0.197567,-2.448758,-0.485137
26.017,1.048071,1.368556,1.217723,1.024641,0.190478,-2.457557,-0.459061
26.159,0.844145,1.369156,1.242575,0.888517,0.17737,-2.468578,-0.41131
26.238,0.729744,1.368005,1.255056,0.811799,0.169882,-2.472033,-0.384291
26.317,0.614778,1.365793,1.266565,0.734453,0.162263,-2.47357,-0.356973
26.396,0.499335,1.362522,1.277091,0.656536,0.154518,-2.47319,-0.329378
26.475,0.383505,1.358194,1.286626,0.578111,0.146653,-2.470891,-0.301528
26.554,0.267377,1.352813,1.295164,0.499237,0.138675,-2.466677,-0.273444
26.634,0.149568,1.346294,1.302786,0.41897,0.130486,-2.460459,-0.244789
