time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
32.309,-0.097401,2,0.000025,0.000324,0.001509,-0.002291,0.007191,0.000591
32.482,-0.16543,2,0.000059,0.000154,0.00072,-0.000699,0.005209,0.000292
32.655,-0.177016,2,0.000082,-0.000089,-0.000386,0.00139,0.001891,-0.000168
32.828,-0.152085,2,0.00009,-0.000352,-0.001652,0.002893,-0.001909,-0.000652
33.016,0.01716,2,0.000081,-0.000519,-0.002794,0.003031,-0.005417,-0.000937
33.189,0.263317,2,0.000063,-0.000468,-0.003162,0.001973,-0.006992,-0.000842
33.362,0.3356,2,0.000047,-0.000265,-0.002717,0.000531,-0.006539,-0.000474
33.535,0.07526,2,0.000033,-0.000033,-0.001749,-0.000576,-0.004669,-0.000034
33.723,-0.00867,2,0.000009,0.000155,-0.000585,-0.001071,-0.002269,0.000312
33.912,-0.073024,2,-0.00003,0.000267,0.000496,-0.001174,-0.000123,0.000482
34.116,-0.000391,2,-0.000072,0.000369,0.00147,-0.001459,0.001646,0.00065
34.32,-0.122567,2,-0.000095,0.000496,0.001985,-0.001928,0.002254,0.000877
34.524,-0.193383,2,-0.000096,0.000485,0.002086,-0.001996,0.00207,0.00084
34.713,-0.131106,2,-0.000077,0.000152,0.002086,-0.001119,0.002345,0.000265
34.886,-0.06604,2,-0.000047,-0.00032,0.001887,0.000601,0.002816,-0.000548
35.059,0.038721,2,-0.000011,-0.000657,0.001275,0.002608,0.002609,-0.001164
35.247,0.239927,2,0.000029,-0.000703,0.000309,0.003949,0.001511,-0.001282
35.436,0.138477,2,0.000063,-0.000523,-0.000575,0.003612,0.000241,-0.00095
35.593,0.077012,2,0.000078,-0.000284,-0.001124,0.002098,-0.000584,-0.000495
35.781,-0.014863,2,0.000071,0.00009,-0.00155,-0.000503,-0.001144,0.000194
35.954,-0.024909,2,0.000042,0.000438,-0.001704,-0.002617,-0.001266,0.000819
36.127,-0.141245,2,0.000002,0.000623,-0.001679,-0.003517,-0.001336,0.001134
36.3,-0.083306,2,-0.000035,0.000543,-0.001538,-0.003015,-0.001591,0.000962
36.488,0.07721,2,-0.000053,0.000234,-0.00127,-0.001518,-0.001858,0.00039
36.661,0.088291,2,-0.000036,-0.000051,-0.000909,-0.000011,-0.001742,-0.000126
36.834,0.028824,2,0.000006,-0.000163,-0.000326,0.001041,-0.000907,-0.000338
36.991,0.031865,2,0.000053,-0.000118,0.000494,0.001265,0.00062,-0.000255
37.18,-0.071124,2,0.000099,-0.000037,0.001522,0.000675,0.002454,-0.000079
37.368,-0.156824,2,0.000111,-0.000055,0.001823,-0.000025,0.002325,-0.000082
37.541,-0.085935,2,0.000083,-0.000129,0.001335,0.000055,0.000364,-0.000199
37.73,-0.094864,2,0.000016,-0.000204,0.000698,0.001013,-0.001562,-0.000309
37.918,0.025311,2,-0.00006,-0.000268,0.000441,0.001938,-0.001775,-0.000406
